Source,capacity_mean,capacity_min,capacity_max,capacity_std,start,end,abs_change,pct_change,range,cv_pct
Wind,5384.986666666667,557.37,11902.4,3893.225399848337,557.37,11902.4,11345.029999999999,2035.4575954931192,11345.029999999999,72.29777232221566
Natural Gas,17697.974583333333,13190.61,22006.37,3241.33496999059,13190.61,21499.42,8308.809999999998,62.99033933987887,8815.759999999998,18.314722708682403
Hydro,75840.56666666667,72779.831,80403.11,2495.3146583550424,72889.831,80403.11,7513.278999999995,10.307719056173958,7623.278999999995,3.2902109886947604
Solar,711.2019166666668,16.75,2309.538,846.7627574212978,16.75,2309.538,2292.788,13688.286567164178,2292.788,119.06080925512566
Nuclear,13615.333333333334,12805.0,14345.0,522.075461862352,12805.0,14273.0,1468.0,11.464271768840305,1540.0,3.8344669871886006
Biomass,2018.3566833333334,1734.6882,2702.29,316.34887324793755,1804.0882,2702.29,898.2018,49.78702260787471,967.6017999999999,15.673586133719668
Oil and Diesel,4405.227083333333,3785.765,4830.79,413.3268782445145,4794.76,3836.755,-958.0050000000001,-19.980249272122062,1045.025,9.382646352291097
Coal,13391.69,9661.44,16005.64,2612.689959166083,16002.64,9661.44,-6341.199999999999,-39.6259617163168,6344.199999999999,19.50978524119124
